AGID,LBK_PORT,PCID,DESCRIPTION,LAT,LONG,INPFC_AREA,OBS_port
C,477,TML, TOMALES BAY                           ,38.169643,-122.909996,MONTEREY,
W,P.T,TNS, PORT TOWNSEND                         ,48.1170387,-122.7604472,VANCOUVER,
C,745,TRM, TERMINAL ISLAND                       ,33.73677794,-118.2709658,CONCEPTION,TERMINAL ISLAND
C,231,TRN, TRINIDAD                              ,41.0554022,-124.1472914,EUREKA,TRINIDAD
C,613,VEN, VENTURA                               ,34.24944,-119.26483,CONCEPTION,VENTURA
O,47,WAL, WASHINGTON STATE                      ,,,,
O,47,WAL, WASHINGTON STATE                      ,,,,
O,32,WIN, WINCHESTER BAY                        ,43.6776165,-124.1776149,COLUMBIA,WINCHESTER BAY
W,TOK,WLB, TOKELAND                              ,46.7295389,-124.0907263,COLUMBIA,
W,B.C,WLB, BAY CENTER                            ,46.7295389,-124.0907263,COLUMBIA,
W,NAS,WLB, NASELLE                               ,46.7295389,-124.0907263,COLUMBIA,
W,RAY,WLB, RAYMOND                               ,46.7295389,-124.0907263,COLUMBIA,
W,S.B,WLB, SOUTH BEND                            ,46.7295389,-124.0907263,COLUMBIA,
O,26,WLD, WALDPORT                              ,44.426786,-124.0687302,COLUMBIA,
C,746,WLM, WILMINGTON                            ,33.780018,-118.2625711,,
O,67,WPT, WESTPORT WA                           ,46.8900903,-124.1040613,COLUMBIA,
W,WES,WPT, WESTPORT                              ,46.8900903,-124.1040613,COLUMBIA,WESTPORT
O,28,YAC, YACHATS                               ,44.3112312,-124.1048418,COLUMBIA,
